Date,Non indexées,Dans l'index,Impressions
2025-12-30,,,1
2025-12-31,,,6
2026-01-01,,,0
2026-01-02,,,40
2026-01-03,271,47,4
2026-01-04,292,38,1
2026-01-05,292,38,7
2026-01-06,292,38,6
2026-01-07,295,37,8
2026-01-08,295,37,11
2026-01-09,295,37,11
2026-01-10,295,37,5
2026-01-11,293,36,8
2026-01-12,293,36,8
2026-01-13,293,36,4
2026-01-14,288,36,6
2026-01-15,288,36,16
2026-01-16,288,36,3
2026-01-17,288,36,3
2026-01-18,286,36,2
2026-01-19,286,36,9
2026-01-20,286,36,13
2026-01-21,280,35,11
2026-01-22,280,35,6
2026-01-23,280,35,15
2026-01-24,280,35,2
2026-01-25,268,37,0
2026-01-26,268,37,1
2026-01-27,268,37,4
2026-01-28,269,36,6
2026-01-29,269,36,2
2026-01-30,269,36,7
2026-01-31,269,36,2
2026-02-01,268,34,4
2026-02-02,268,34,8
2026-02-03,268,34,6
2026-02-04,267,31,12
2026-02-05,267,31,6
2026-02-06,267,31,16
2026-02-07,267,31,6
2026-02-08,264,30,3
2026-02-09,264,30,4
2026-02-10,264,30,11
2026-02-11,267,27,17
2026-02-12,267,27,7
2026-02-13,267,27,4
2026-02-14,267,27,7
2026-02-15,271,23,12
2026-02-16,271,23,8
2026-02-17,271,23,4
2026-02-18,260,21,8
2026-02-19,260,21,13
2026-02-20,260,21,12
2026-02-21,260,21,14
2026-02-22,246,17,10
2026-02-23,246,17,7
2026-02-24,246,17,5
2026-02-25,235,11,2
2026-02-26,235,11,6
2026-02-27,235,11,7
2026-02-28,235,11,2
2026-03-01,235,11,1
2026-03-02,235,11,5
2026-03-03,235,11,0
2026-03-04,230,11,5
2026-03-05,230,11,9
2026-03-06,230,11,11
2026-03-07,230,11,2
2026-03-08,219,9,0
2026-03-09,219,9,8
2026-03-10,219,9,4
2026-03-11,220,7,5
2026-03-12,220,7,5
2026-03-13,220,7,3
2026-03-14,220,7,1
2026-03-15,220,7,0
2026-03-16,221,6,10
2026-03-17,221,6,1
2026-03-18,220,7,4
2026-03-19,220,7,4
2026-03-20,220,7,2
2026-03-21,220,7,1
2026-03-22,219,9,2
2026-03-23,219,9,4
2026-03-24,219,9,3
2026-03-25,213,15,7
2026-03-26,213,15,4
2026-03-27,213,15,9
2026-03-28,213,15,
